"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"57","Tuna, Tuna and bonito","Argentina",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Fish","Armenia",1346.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,589.5,738,0,0,0,0,0,0,0
"59","Freshwater fish, Marine fish","Armenia",5241.6496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.82,616.44,483.24,976.16,1174.9,760.5,329.5896
"60","Atlantic salmon, Salmon","Australia",49533.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,44,35,54,80,93,90,98,124,196,91,160,57,0,19,0,0,118,265,0,0,2160,1016,472,8042,3290,12586,9818,10485.02
"61","Australian angelshark, Ghost shark, Gummy shark, Sawshark, Shark, Tope shark","Australia",523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,5,0,0,0,0,0,10,13,0,0,0,0,0,25,44,42,14,60,38,0,0,0,0,0,0,0,0,0
"62","Australian salmon, Salmon","Australia",1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,101,2,88,2,0,29,11,32,19,57,247,0,0,0,0,0,68,12,0,0,0,0,0,0,0,0,0,0,0
"63","Bigeye tuna, Skipjack tuna, Longtail tuna, Tuna and bonito, Yellowfin tuna","Australia",24716.54,923.92,2986.88,0,0,0,0,8962.08,11843.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Broad-barred king mackerel, Greenback horse mackerel, Jack and horse mackerel, Narrow-barred Spanish mackerel","Australia",956.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688.68,0,0,0
"65","Carps and eels and snakeheads","Australia",710.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,258,326.31
"66","Cod and hake and haddock","Australia",892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,27,0,0,0,0,0,0,0,0,0,0,468,183,47,0,0,65,65,0
