,Country,Detailed.production.source,Taxon,Taxon2,Aqua.Cap.items,Mean.Trophic.Level,Total.production,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Albania,"Capture,Aquaculture","Marine fish,Marine fish",Fish,Gilthead seabream,3.7,16509.63743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,20,20,23,190,381,258,408,273.4848237,476.0428759,453,453,437,692,445,1602,1656,1643,1776.784143,1944.771123,1699.178877,961.4314127,658.9441746
40,Albania,"Capture,Aquaculture","Freshwater fish,Freshwater fish",Fish,Grass carp,2,777,0,0,0,0,0,0,0,0,0,0,0,2,7,13,12,4,2,2,2,0,1,0,3,6,46,12,16,23,29,46,44,93,115,134,67,60,2,2,3,3,4,5,7,12
41,Albania,Capture,Marine fish,Fish,Greater amberjack,4.5,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,19,1,7,5,8,2,5,10,2,2,7,8,4,8,7,6,3,5
42,Albania,Capture,Marine fish,Fish,Greater weever,4.2,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,51,118,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Albania,Capture,Marine fish,Fish,Grouper,4.05,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,5,1,7,16,23,21,0,18,7,6,4,8,8,7,6,1
44,Albania,Capture,Marine fish,Fish,Gurnard,3.85,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,34,72,25,7,20,26,41,39,36,16,40,7,4,6,12,11,10,22,19
45,Albania,Imports,Fish,Fish,Hake,4.210022623,538.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,1,50,59,47,49,35,59,74,2,13,16,87.56
46,Albania,Imports,Fish,Fish,Herring,3.300155675,1088.9186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.74,5.66,4,0,0,0,0,0,0,0,0,0,18.62,8.66,9.32,128.64,224.98,96.66,78.32,210,67.3186
47,Albania,Capture,Freshwater fish,Fish,Ide,3.8,139,0,0,0,0,0,0,0,0,0,0,0,24,23,34,31,4,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Albania,"Imports,Capture","Fish,Marine fish",Fish,Jack and horse mackerel,3.583106921,2614.045902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68,18,85,92,90,21,66,63.18590164,104,75,118,131,155,182,91,170,85,109,95,117,121,114,110,283.86
49,Albania,Capture,Marine fish,Fish,John dory,4.5,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,3,2,2,4,12,12,22,0,18,12,11,9,19,18,15,7,8
50,Albania,Capture,Marine fish,Fish,Leerfish,4.5,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,37,42,13,32,13,6,7,12,11,13,12,6,9
51,Albania,Imports,Fish,Fish,Mackerel,3.499079624,7922.2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22,9.66,0,0,0,4,11.66,106.92,0,89.3,26.6,33.3,131.64,260.82,334.1,301.96,412.98,1340.64,795.06,726.24,822.94,614.46,824.6,473.48,556.6582
52,Albania,"Imports,Capture","Fish,Marine fish",Fish,Marine fish,3.498330277,68693.25707,5498,5490,5990,5950,5900,6143,5429,1137,723,857,0,0,0,0,0,0,0,0,0,0,375.8413585,0,497.62,3735.82,1491.28,1160.98,1345.88,342.515156,1567.733674,2217.44,1882.26,1563.54,1718.24,1817.92,1572.292628,2861.294253,318.66,509.8,597.14,0,0,0,0,0
53,Albania,Capture,Marine fish,Fish,Megrim,4.3,235.8936652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,1,5.970588235,0,2,7,5,11,29,28,15,8,20,18,21,23,20,21,0,0
54,Albania,Capture,Marine fish,Fish,Monkfish,4.5,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,42,48,44,0,14,25,22,12,18,21,18,39,0,16,17,15,16,19,22,21,17,32
55,Albania,Capture,Marine fish,Fish,Mullet,2.8,4288,0,0,0,0,0,0,0,0,0,0,0,361,371,310,778,200,196,150,100,52,105,42,36,66,45,130,78,3,55,140,76,75,110,128,140,75,55,61,78,52,64,72,44,40
56,Albania,Imports,Fish,Fish,Nile perch and snakeheads Channa spp,4.216676745,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,9,0,11,2,6,0
57,Albania,Imports,Fish,Fish,Pelagic fish,3.66028643,737.5382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,10.64,18.62,13.3,5.32,31.92,63.84,63.84,0,55.86,0,47.88,0,31.92,5.32,34.58,26.6,239.4,83.1782
58,Albania,Capture,Marine fish,Fish,Picarel,3,6523,0,0,0,0,0,0,0,1041,620,781,783,590,459,406,1150,133,127,100,50,0,11,0,7,7,10,5,11,59,47,53,4,2,10,0,53,4,0,0,0,0,0,0,0,0
59,Albania,Capture,Freshwater fish,Fish,Pike-perch,4,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,5,171,57,34,25,20,5,10,4,0,0,0,45,30,45,60,55,68,74,55,62,80,55,6,5,7,7,6,5,7,14
60,Albania,Imports,Fish,Fish,Pilchards Sardinops spp and Sardinellas,2.857185507,13814.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,175,32,804,538,353,680,509,696,1025,872,990,1569,1590,1534,337,132,151,0,140,147,461,291,385,400.87
61,Albania,Capture,Marine fish,Fish,Porgy and seabream,3.55,983,0,0,0,0,0,0,0,68,63,48,78,69,111,107,146,59,82,70,50,0,9,1,0,0,0,1,2,2,4,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0
