"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"45","Albania","Imports","Nile perch and snakeheads Channa spp",4.21667674466189,"Fish",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,9,0,11,2,6,0
"46","Albania","Capture","Mullet",2.8,"Marine fish",4288,0,0,0,0,0,0,0,0,0,0,0,361,371,310,778,200,196,150,100,52,105,42,36,66,45,130,78,3,55,140,76,75,110,128,140,75,55,61,78,52,64,72,44,40
"47","Albania","Capture","Monkfish",4.5,"Marine fish",524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,42,48,44,0,14,25,22,12,18,21,18,39,0,16,17,15,16,19,22,21,17,32
"48","Albania","Capture","Megrim",4.3,"Marine fish",278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0,2,7,5,11,29,28,15,8,20,18,21,23,20,21,20,21
"49","Albania","Imports","Mackerel",3.49907962442317,"Fish",7911.9582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22,9.66,0,0,0,4,11.66,106.92,0,89.3,26.6,33.3,131.64,260.82,334.1,301.96,412.98,1340.64,795.06,726.24,822.94,614.46,824.6,473.48,556.6582
"50","Albania","Capture","Leerfish",4.5,"Marine fish",222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,37,42,13,32,13,6,7,12,11,13,12,6,9
"51","Albania","Capture","John dory",4.5,"Marine fish",181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,3,2,2,4,12,12,22,0,18,12,11,9,19,18,15,7,8
"52","Albania","Capture","Ide",3.8,"Freshwater fish",139,0,0,0,0,0,0,0,0,0,0,0,24,23,34,31,4,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Albania","Imports","Herring",3.30015567524819,"Fish",1088.9186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.74,5.66,4,0,0,0,0,0,0,0,0,0,18.62,8.66,9.32,128.64,224.98,96.66,78.32,210,67.3186
"54","Albania","Imports","Hake",4.21002262280324,"Fish",489.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,1,50,59,47,49,35,59,74,2,13,16,87.56
