"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"78","Marine fish","Argentina",1830689.3016,15.96,13640.84,14879.68,18011.34,27665.66,40253.76,10990.7,9613.16,22837,33513,142846.16,166718.41,145697.74,154310.99,167884.14,61573.3,2307.5,156.86,79.5,47748.7,47069.84,37397.84,46630,49060.66,65582.26,43170.46,43119.87,56245.35,35014.49,29003.97,37152.77,32186.87,42722.75,37298.75,29903.25,23414.25,15893.6,14145.72,12640.25,11731.15,10002.67,10401.6,9531,10625.5316
"79","Patagonian toothfish","Argentina",37829.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755.75,3360.75,2028.5,783.25,769.5,1465.5,970,1992,1595.75,2081.25,2081,2328.75,2887.5,2615,2896.75,2228.5,2095.5,1894.35
"80","Pink cusk-eel","Argentina",18626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698,5659,5512,5757,0,0,0,0,0,0,0,0,0,0,0,0
"81","Ray and stingray and manta","Argentina",109004.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.12,135.36,115.62,73.32,149.46,11429.84,9094.38,7494.81,8547.71,9298.02,9939,86,12069,14965,10802,9699,3078,1700.6
"82","Salmon","Argentina",32550.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,2087,4099,4575,4599,5965,4408,1172,1118,73,79,85,103,34,209,237,170,85,0,6,0,97.5,327.5,212.5,32.5,120,82.5,0,0
"83","Sardine and sardinella and sprat","Argentina",2621.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788.4,619.78,617.12,109.06,162.26,220.78,59.32,0,0,0,0,0,12,0,0,0,29.26,3.66,0,0,0,0,0,0,0,0,0,0
"84","Shark","Argentina",8559.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,10,51.02,151.34,233.3,401.06,69.92,47.46,53.82,104.68,19.82,2,4786.52,951.35,959.27,674.13,0,0,0,0,0,0,0,0
"85","Southern blue whiting","Argentina",7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,916,885,923,1274,657,665,15,144,77,124,299,385,316,82,0
"86","Southern hake","Argentina",30069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1324,4038,2538,2751,3697,3892,2223,2054,1638,1822,2035,1487,54,0,0,0,0,0,0,0,0
"87","Striped weakfish","Argentina",164986.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741,7201,7577,6729,3248,2007,4834,949,1136,3154,2086,2800,3114,6209,7614,8331,10802,12685,13867,12105,12382,7234,8998,7353,8830.24
"88","Swordfish","Argentina",715.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,0,0,0,0,0,0,0,0
"89","Trout","Argentina",642.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,271.25,67.5,23.75,0,31.25,23.75,55,45,52.5,8.75,0
"90","Trout and char","Argentina",1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,1,81,132,21,44,13,3,9,7,7,33,30,5,0,0,86,37,57,0,0,0,0,1,1,6,0,0
"91","Tuna","Argentina",970.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.26,126,13.66,21.96,63.86,56.86,29.26,57.2,5.32,0,0,0,0,7.98,2.66,2.66,0,34.58,63.84,21.28,15.96,167.58,0,242.06,0,0,0,0,0
"92","Tuna and bonito and billfish","Argentina",614.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.74,5.32,0,42.56,2.66,0,0,5.32,2.66,0,0,0,2.66,178.22,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Yellowfin tuna","Argentina",109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57,0,33,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Crustacean","Armenia",28134.8418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,300,20,5,394,762,814,771.88,1011.18,797,1252.59,849.82,1033.35,1630.21,2534.77,5022.59,4681.2,3199,2234.86,585.76,164.51,19.1218
"95","Fish","Armenia",9315.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107.9,36,7.98,0,21.28,3.66,30.6,24.62,14.32,4,13,16,1438.92,907.8,1287.18,1613.12,1855.42,1125.62,806.672
"96","Freshwater fish","Armenia",2477.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,2,5,1,216,912,1138,3,0,2,14,36,51,74.32
"97","Trout","Armenia",14768.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,6,14,6,22,46,67,52,63,4,201,380,675,835,860,449,880,1946,3494,4756.64
"98","Albacore","Australia",13174.34,0,0,0,0,0,0,0,0,0,0,0,0,0,155,7,19,159,59,192,67,192,168,84,86,158,228,355,260,555,494,917,1670,938,1117,626,548,436,246,384,585,718,658,497,596.34
"99","Anchovy","Australia",1071.5278,0,0,0,0,0,0,0,0,0,0,0,0,0,23.94,2.66,15.96,26.6,7.98,39.9,2.66,0,0,0,2.66,2.66,236.74,7.98,5.32,23.94,15.96,31.92,18.62,31.92,47.88,53.2,31.92,31.92,13.3,87.78,37.24,18.62,204.82,23.94,23.4878
"100","Atlantic salmon and Danube salmon","Australia",52553.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139,44,35,63,94,103,115,134,129,200,91,170,110,30,36,7,24,132,275,83,18,2440,1545,1532,8756,3295,12594,9838,10519.52
"101","Bigeye tuna","Australia",9940.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,1053,670,506,305,660,735,551,425,368,468,475,400,664,685,323,241,168.24
"102","Carps","Australia",803.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,292,340.43
"103","Catfish","Australia",423.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,8.75,1.25,20,23.75,78.75,88.75,59.6875
"104","Cephalopod","Australia",13178.39,0,0,0,0,0,0,0,0,0,0,0,0,0,124,274,17,102,269,646,710,582,919,402,1044,554,540,305,372,1040,907,757,361,259,332,229,369,465.1,382.56,213.42,317.72,169,292.98,141.66,81.95
"105","Cod","Australia",361.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,96,0,0,14,0,18,29,44,58,28,5,0,0,1,1,3,0,17,0,3,1,2,11,8,4,7.8
"106","Cod and hake and haddock","Australia",8643.695,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41.25,440,301.25,215,151.25,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.5,1634.5,444.75,931.25,1132.5,620,738,855.445
